seed,status,score,bucket,reason,elapsed_ms,expanded_nodes,unique_states
8133,unknown,,unknown,limits_reached,20011.761,19668,137515
8134,unknown,,unknown,limits_reached,13800.055,18744,112363
8135,unknown,,unknown,limits_reached,20003.017,21129,134690
8136,unknown,,unknown,limits_reached,20002.236,19243,149467
8137,unknown,,unknown,limits_reached,20006.089,17543,148721
8138,solved,148582.793000,Hard,,2954.367,1968,3151
8139,solved,145215.272000,Hard,,1252.902,762,1482
8140,unknown,,unknown,limits_reached,20213.417,17526,136431
8141,unknown,,unknown,limits_reached,20011.688,12975,152032
8142,unknown,,unknown,limits_reached,20011.371,8858,144842
8143,solved,144955.070000,Hard,,4851.904,2642,5602
8144,unknown,,unknown,limits_reached,20005.433,14439,128396
8145,unknown,,unknown,limits_reached,20002.065,17442,143961
8146,unknown,,unknown,limits_reached,20005.626,17759,137381
8147,unknown,,unknown,limits_reached,20003.610,14878,106313
8148,unknown,,unknown,limits_reached,20003.807,16034,130110
8149,unknown,,unknown,limits_reached,20001.417,26694,88495
8150,unknown,,unknown,limits_reached,20007.612,16035,145432
8151,unknown,,unknown,limits_reached,20001.743,28345,101748
8152,unknown,,unknown,limits_reached,20001.338,22776,129430
8153,unknown,,unknown,limits_reached,20002.374,27332,98764
8154,unknown,,unknown,limits_reached,20004.162,13602,106005
8155,unknown,,unknown,limits_reached,20011.977,13460,94751
8156,unknown,,unknown,limits_reached,20002.991,15729,146294
8157,unknown,,unknown,limits_reached,20001.681,26021,118732
8158,unknown,,unknown,limits_reached,20001.043,17009,147033
8159,solved,136934.329000,Medium,,3248.756,1439,4345
8160,unknown,,unknown,limits_reached,20000.590,40319,58325
8161,solved,134261.079000,Easy,,1221.996,774,1955
8162,unknown,,unknown,limits_reached,20002.697,26125,110719
8163,unknown,,unknown,limits_reached,20002.949,17802,139847
8164,unknown,,unknown,limits_reached,20001.425,55047,61656
8165,unknown,,unknown,limits_reached,20005.039,18462,131046
8166,unknown,,unknown,limits_reached,20005.087,16017,141500
8167,unknown,,unknown,limits_reached,20003.045,38269,62441
8168,unknown,,unknown,limits_reached,20004.760,27401,71115
8169,unknown,,unknown,limits_reached,20004.571,20794,106048
8170,solved,134717.692000,Easy,,1264.730,537,1434
8171,unknown,,unknown,limits_reached,20252.917,16724,114231
8172,unknown,,unknown,limits_reached,20004.588,14780,112393
8173,unknown,,unknown,limits_reached,20005.892,22282,79683
8174,solved,131750.620000,Easy,,2478.802,963,2771
8175,unknown,,unknown,limits_reached,7254.334,7830,142416
8176,unknown,,unknown,limits_reached,14262.102,23460,94097
8177,unknown,,unknown,limits_reached,20004.216,17146,137394
8178,unknown,,unknown,limits_reached,20003.496,12267,130729
8179,unknown,,unknown,limits_reached,20005.370,16474,146592
8180,solved,142673.794000,Medium,,2655.480,1421,3193
8181,unknown,,unknown,limits_reached,20003.794,12671,135355
8182,unknown,,unknown,limits_reached,20006.236,10838,135746
8183,unknown,,unknown,limits_reached,20002.486,24855,110759
8184,solved,145412.866000,Hard,,2566.727,680,1423
8185,unknown,,unknown,limits_reached,20001.875,20704,116434
8186,unknown,,unknown,limits_reached,20003.626,19078,132850
8187,unknown,,unknown,limits_reached,10650.285,12476,128785
